Metric,Value
r2omc_N_5,[0.5509999990463257]
r2omc_N_5_runtime,[54.18921603297349]
r2omc_N_10,[0.5379999876022339]
r2omc_N_10_runtime,[109.7581687400234]
r2omc_N_15,[0.5534999966621399]
r2omc_N_15_runtime,[168.88604135502828]
r2omc_N_2,[0.5569999814033508]
r2omc_N_2_runtime,[22.763370291970205]
r2omc_N_20,[0.5615000128746033]
r2omc_N_20_runtime,[222.14770468702773]
romc_N_2,[0.9955000281333923]
romc_N_2_runtime,[24.68061239400413]
romc_N_5,[0.9959999918937683]
romc_N_5_runtime,[32.23747401603032]
romc_N_10,[0.9965000152587891]
romc_N_10_runtime,[48.393734464014415]
romc_N_15,[0.9965000152587891]
romc_N_15_runtime,[68.99880127498182]
romc_N_20,[0.9980000257492065]
romc_N_20_runtime,[86.28673214704031]
nle_N_2,[0.7114999890327454]
nle_N_2_runtime,[235.26601767539978]
nle_N_5,[0.7764999866485596]
nle_N_5_runtime,[339.0768156051636]
nle_N_10,[0.8939999938011169]
nle_N_10_runtime,[427.2885105609894]
npe_N_2,[0.781499981880188]
npe_N_2_runtime,[379.58665204048157]
npe_N_5,[0.9919999837875366]
npe_N_5_runtime,[323.7891983985901]
npe_N_10,[0.9994999766349792]
npe_N_10_runtime,[75.30931544303894]
nle_N_15,[0.9495000243186951]
nle_N_15_runtime,[816.2823972702026]
npe_N_15,[0.9984999895095825]
npe_N_15_runtime,[93.79542899131775]
nle_N_20,[0.9800000190734863]
nle_N_20_runtime,[1425.4920313358307]
npe_N_20,[0.9984999895095825]
npe_N_20_runtime,[119.81885695457458]
