Metric,Value
romc_N_3,[0.5494999885559082]
romc_N_3_runtime,[15.928891242016107]
romc_N_5,[0.5559999942779541]
romc_N_5_runtime,[16.5229987790226]
romc_N_10,[0.6274999976158142]
romc_N_10_runtime,[18.22770552401198]
romc_N_15,[0.6455000042915344]
romc_N_15_runtime,[16.9168698330177]
romc_N_20,[0.6725000143051147]
romc_N_20_runtime,[21.05267508199904]
r2omc_N_3,[0.5109999775886536]
r2omc_N_3_runtime,[25.735597578022862]
r2omc_N_5,[0.5115000009536743]
r2omc_N_5_runtime,[42.603376594983274]
r2omc_N_10,[0.5254999995231628]
r2omc_N_10_runtime,[91.1880247949739]
r2omc_N_15,[0.5690000057220459]
r2omc_N_15_runtime,[141.1298657740117]
r2omc_N_20,[0.6075000166893005]
r2omc_N_20_runtime,[199.44737718900433]
nle_N_3,[0.6380000114440918]
nle_N_3_runtime,[326.42597484588623]
nle_N_5,[0.7524999976158142]
nle_N_5_runtime,[446.8388569355011]
nle_N_10,[0.890999972820282]
nle_N_10_runtime,[646.979364156723]
nle_N_15,[0.9369999766349792]
nle_N_15_runtime,[1666.9724876880646]
nle_N_20,[0.9355000257492065]
nle_N_20_runtime,[1938.8189144134521]
npe_N_3,[0.9629999995231628]
npe_N_3_runtime,[196.20029044151306]
npe_N_5,[0.9944999814033508]
npe_N_5_runtime,[190.4582622051239]
npe_N_10,[0.9925000071525574]
npe_N_10_runtime,[84.53972625732422]
npe_N_15,[0.9934999942779541]
npe_N_15_runtime,[116.5412027835846]
npe_N_20,[0.9915000200271606]
npe_N_20_runtime,[141.2647409439087]
