,Metric,Value
0,ROMC_D_5,"[0.5210000276565552, 0.5394999980926514]"
1,ROMC_D_5_runtime,"[9.811917220999021, 10.197267216004548]"
2,ROMC_D_10,"[0.6414999961853027, 0.6575000286102295]"
3,ROMC_D_10_runtime,"[10.2687775670056, 10.058096178996493]"
4,ROMC_D_15,"[0.6865000128746033, 0.6840000152587891]"
5,ROMC_D_15_runtime,"[11.826481766001962, 12.50522503999673]"
6,ROMC_D_20,"[0.7214999794960022, 0.715499997138977]"
7,ROMC_D_20_runtime,"[14.293109705999086, 13.796628188996692]"
8,ROMC_D_25,"[0.7319999933242798, 0.7494999766349792]"
9,ROMC_D_25_runtime,"[13.234673044004012, 14.1718848360033]"
10,ROMC_D_30,"[0.7404999732971191, 0.7519999742507935]"
11,ROMC_D_30_runtime,"[15.23405410900159, 14.30442534499889]"
12,R2OMC_D_5,"[0.5230000019073486, 0.5199999809265137]"
13,R2OMC_D_5_runtime,"[13.595340548999957, 14.000842730994918]"
14,R2OMC_D_10,"[0.6165000200271606, 0.6200000047683716]"
15,R2OMC_D_10_runtime,"[15.37554972399812, 14.899170139993657]"
16,R2OMC_D_15,"[0.6945000290870667, 0.6679999828338623]"
17,R2OMC_D_15_runtime,"[15.375322441999742, 15.341145025995502]"
18,R2OMC_D_20,"[0.7020000219345093, 0.7214999794960022]"
19,R2OMC_D_20_runtime,"[19.884528003000014, 18.226721442995768]"
20,R2OMC_D_25,"[0.7020000219345093, 0.718999981880188]"
21,R2OMC_D_25_runtime,"[18.936127282999223, 17.9701059670042]"
22,R2OMC_D_30,"[0.7139999866485596, 0.7269999980926514]"
23,R2OMC_D_30_runtime,"[21.496401934004098, 20.05193137199967]"
24,NPE_D_5,"[0.9695000052452087, 0.9944999814033508]"
25,NPE_D_5_runtime,"[592.383318483, 450.74774252600037]"
26,NPE_D_10,"[0.9975000023841858, 0.9984999895095825]"
27,NPE_D_10_runtime,"[890.0750161339965, 1023.403713877]"
28,NPE_D_15,"[0.9990000128746033, 1.0]"
29,NPE_D_15_runtime,"[2028.7884221929999, 1261.4353572110049]"
30,NPE_D_20,"[0.9980000257492065, 1.0]"
31,NPE_D_20_runtime,"[2722.5091470059997, 2190.5137217110023]"
32,NPE_D_25,"[0.9994999766349792, 1.0]"
33,NPE_D_25_runtime,"[1468.0888664369995, 2047.9440446730005]"
34,NPE_D_30,"[0.9990000128746033, 1.0]"
35,NPE_D_30_runtime,"[3518.7183168830015, 3707.556059317001]"
36,NLE_D_5,"[0.7384999990463257, 0.7910000085830688]"
37,NLE_D_5_runtime,"[158.07064669998363, 187.27130322199082]"
38,NLE_D_10,"[0.9760000109672546, 0.8190000057220459]"
39,NLE_D_10_runtime,"[217.11721392796608, 224.974280474009]"
40,NLE_D_15,"[0.9850000143051147, 0.9860000014305115]"
41,NLE_D_15_runtime,"[403.23724406503607, 391.0445024869987]"
42,NLE_D_20,"[0.996999979019165, 0.987500011920929]"
43,NLE_D_20_runtime,"[479.34973245701985, 414.06301973498194]"
44,NLE_D_25,"[1.0, 0.9994999766349792]"
45,NLE_D_25_runtime,"[601.1399950339692, 590.9193243110203]"
46,NLE_D_30,"[0.9965000152587891, 1.0]"
47,NLE_D_30_runtime,"[701.141880116018, 839.1871354330215]"
