,Metric,Value
0,ROMC_D_5,"[0.9940000176429749, 0.9955000281333923]"
1,ROMC_D_5_runtime,"[17.442448975001753, 16.573578137002187]"
2,ROMC_D_10,"[0.9959999918937683, 0.9984999895095825]"
3,ROMC_D_10_runtime,"[19.18836653100152, 19.07245292600419]"
4,ROMC_D_15,"[0.9984999895095825, 0.9980000257492065]"
5,ROMC_D_15_runtime,"[20.129517232999206, 18.836195079995377]"
6,ROMC_D_20,"[0.9990000128746033, 0.9990000128746033]"
7,ROMC_D_20_runtime,"[23.893797158998495, 21.33762230299908]"
8,ROMC_D_25,"[0.9980000257492065, 0.996999979019165]"
9,ROMC_D_25_runtime,"[24.743511754000792, 24.1537626260033]"
10,ROMC_D_30,"[0.9994999766349792, 0.9994999766349792]"
11,ROMC_D_30_runtime,"[30.570660423996742, 26.82250733300316]"
12,R2OMC_D_5,"[0.5195000171661377, 0.531499981880188]"
13,R2OMC_D_5_runtime,"[18.03168505299982, 17.657266746995447]"
14,R2OMC_D_10,"[0.5945000052452087, 0.6029999852180481]"
15,R2OMC_D_10_runtime,"[21.58278663400415, 19.738309122003557]"
16,R2OMC_D_15,"[0.6535000205039978, 0.6585000157356262]"
17,R2OMC_D_15_runtime,"[20.43403226500959, 20.043741866000346]"
18,R2OMC_D_20,"[0.6894999742507935, 0.7124999761581421]"
19,R2OMC_D_20_runtime,"[25.590603826000006, 23.1197329860006]"
20,R2OMC_D_25,"[0.7095000147819519, 0.7039999961853027]"
21,R2OMC_D_25_runtime,"[23.449268386000767, 23.396527093005716]"
22,R2OMC_D_30,"[0.6980000138282776, 0.6899999976158142]"
23,R2OMC_D_30_runtime,"[27.87029998798971, 25.725633078996907]"
24,NPE_D_5,"[0.9975000023841858, 0.9940000176429749]"
25,NPE_D_5_runtime,"[154.48582488900865, 146.3579394480039]"
26,NPE_D_10,"[0.9990000128746033, 0.9980000257492065]"
27,NPE_D_10_runtime,"[194.99863230399205, 193.12156544699974]"
28,NPE_D_15,"[0.9990000128746033, 1.0]"
29,NPE_D_15_runtime,"[238.54933316899405, 234.63296809099847]"
30,NPE_D_20,"[0.9994999766349792, 1.0]"
31,NPE_D_20_runtime,"[278.8410596019967, 275.3671464060026]"
32,NPE_D_25,"[1.0, 0.9994999766349792]"
33,NPE_D_25_runtime,"[316.77682490699226, 311.92087501900096]"
34,NPE_D_30,"[1.0, 0.9994999766349792]"
35,NPE_D_30_runtime,"[351.79616545999306, 353.72389841399854]"
36,NLE_D_5,"[0.9975000023841858, 0.996999979019165]"
37,NLE_D_5_runtime,"[718.1754816680332, 719.7687766919844]"
38,NLE_D_10,"[0.9990000128746033, 0.9965000152587891]"
39,NLE_D_10_runtime,"[1004.0885325369891, 965.7033969430486]"
40,NLE_D_15,"[0.9980000257492065, 0.9990000128746033]"
41,NLE_D_15_runtime,"[1330.252271223988, 1297.4157656620373]"
42,NLE_D_20,"[1.0, 0.9994999766349792]"
43,NLE_D_20_runtime,"[1777.5486776040052, 1817.7713237169664]"
44,NLE_D_25,"[0.9994999766349792, 1.0]"
45,NLE_D_25_runtime,"[2196.9585008129943, 2316.689789306023]"
46,NLE_D_30,"[1.0, 1.0]"
47,NLE_D_30_runtime,"[2479.8636859584594, 2508.4567323692527]"
