,Metric,Value
0,ROMC_D_5,"[0.48899999260902405, 0.4860000014305115]"
1,ROMC_D_5_runtime,"[9.44241075500031, 9.105047495002509]"
2,ROMC_D_10,"[0.5220000147819519, 0.5134999752044678]"
3,ROMC_D_10_runtime,"[9.894751069998165, 9.88599713000076]"
4,ROMC_D_15,"[0.5019999742507935, 0.5070000290870667]"
5,ROMC_D_15_runtime,"[11.28912122499969, 10.45962717799921]"
6,ROMC_D_20,"[0.5065000057220459, 0.5070000290870667]"
7,ROMC_D_20_runtime,"[11.293551513001148, 11.025360806997924]"
8,ROMC_D_25,"[0.4884999990463257, 0.49950000643730164]"
9,ROMC_D_25_runtime,"[12.889412549000554, 12.63015385199833]"
10,ROMC_D_30,"[0.5130000114440918, 0.5074999928474426]"
11,ROMC_D_30_runtime,"[14.287480038001377, 13.56049361300029]"
12,R2OMC_D_5,"[0.5174999833106995, 0.5224999785423279]"
13,R2OMC_D_5_runtime,"[14.952890234999359, 13.8807707019987]"
14,R2OMC_D_10,"[0.48100000619888306, 0.5224999785423279]"
15,R2OMC_D_10_runtime,"[14.739586408002651, 15.437742542999331]"
16,R2OMC_D_15,"[0.5230000019073486, 0.5235000252723694]"
17,R2OMC_D_15_runtime,"[15.797684121000202, 15.537177723999775]"
18,R2OMC_D_20,"[0.5299999713897705, 0.5335000157356262]"
19,R2OMC_D_20_runtime,"[16.204880743000103, 16.976894013001584]"
20,R2OMC_D_25,"[0.5174999833106995, 0.5180000066757202]"
21,R2OMC_D_25_runtime,"[18.36118999500104, 17.58179868699881]"
22,R2OMC_D_30,"[0.5239999890327454, 0.5205000042915344]"
23,R2OMC_D_30_runtime,"[18.547571303999575, 19.904783483001665]"
24,NPE_D_5,"[0.9980000257492065, 0.9975000023841858]"
25,NPE_D_5_runtime,"[536.1120194649993, 580.7529785789993]"
26,NPE_D_10,"[0.9984999895095825, 1.0]"
27,NPE_D_10_runtime,"[792.1053422089972, 934.7636846770001]"
28,NPE_D_15,"[0.9990000128746033, 0.9994999766349792]"
29,NPE_D_15_runtime,"[1790.7715495459997, 1126.1029552790023]"
30,NPE_D_20,"[0.9994999766349792, 1.0]"
31,NPE_D_20_runtime,"[1948.2418985370023, 1493.7775531199986]"
32,NPE_D_25,"[1.0, 0.9994999766349792]"
33,NPE_D_25_runtime,"[2333.0008150190006, 1424.822947312001]"
34,NPE_D_30,"[1.0, 0.9994999766349792]"
35,NPE_D_30_runtime,"[1764.568659741999, 2035.0737653889955]"
