,Metric,Value
0,ROMC_D_5,"[0.9980000257492065, 0.9980000257492065]"
1,ROMC_D_5_runtime,"[17.807447860002867, 17.179514651004865]"
2,ROMC_D_10,"[0.9994999766349792, 1.0]"
3,ROMC_D_10_runtime,"[18.75015208399418, 18.820812213001773]"
4,ROMC_D_15,"[1.0, 1.0]"
5,ROMC_D_15_runtime,"[18.66012304000469, 18.91766136499791]"
6,ROMC_D_20,"[1.0, 1.0]"
7,ROMC_D_20_runtime,"[20.822648676003155, 18.946168061003846]"
8,ROMC_D_25,"[0.9994999766349792, 1.0]"
9,ROMC_D_25_runtime,"[21.44229326400091, 21.275614284000767]"
10,ROMC_D_30,"[1.0, 1.0]"
11,ROMC_D_30_runtime,"[25.15683886599436, 22.415198810005677]"
12,R2OMC_D_5,"[0.5164999961853027, 0.5180000066757202]"
13,R2OMC_D_5_runtime,"[16.64325068499602, 16.408276016001764]"
14,R2OMC_D_10,"[0.48649999499320984, 0.4970000088214874]"
15,R2OMC_D_10_runtime,"[19.679480795995914, 18.298912794001808]"
16,R2OMC_D_15,"[0.5295000076293945, 0.5115000009536743]"
17,R2OMC_D_15_runtime,"[18.554991919001623, 20.502074130003166]"
18,R2OMC_D_20,"[0.5350000262260437, 0.531499981880188]"
19,R2OMC_D_20_runtime,"[20.127040779996605, 20.257096818997525]"
20,R2OMC_D_25,"[0.5084999799728394, 0.4934999942779541]"
21,R2OMC_D_25_runtime,"[20.963359499000944, 26.33508321699628]"
22,R2OMC_D_30,"[0.5274999737739563, 0.5230000019073486]"
23,R2OMC_D_30_runtime,"[23.52420674700261, 23.019082118997176]"
24,NPE_D_5,"[0.9984999895095825, 0.9980000257492065]"
25,NPE_D_5_runtime,"[150.92571202699764, 141.4497589120001]"
26,NPE_D_10,"[0.9994999766349792, 1.0]"
27,NPE_D_10_runtime,"[185.02886354600196, 185.58731111599627]"
28,NPE_D_15,"[1.0, 0.9994999766349792]"
29,NPE_D_15_runtime,"[232.32822429899534, 223.888788287004]"
30,NPE_D_20,"[0.9990000128746033, 1.0]"
31,NPE_D_20_runtime,"[270.38978851700085, 272.00679894300265]"
32,NPE_D_25,"[0.9994999766349792, 0.9984999895095825]"
33,NPE_D_25_runtime,"[311.19598830299947, 316.1898730239991]"
34,NPE_D_30,"[1.0, 1.0]"
35,NPE_D_30_runtime,"[355.84171356899606, 360.05301920200145]"
