,Metric,Value
0,ROMC_D_2,"[0.5385000109672546, 0.5084999799728394]"
1,ROMC_D_2_runtime,"[4.446012922009686, 3.940257631998975]"
2,ROMC_D_5,"[0.5299999713897705, 0.5105000138282776]"
3,ROMC_D_5_runtime,"[6.309157354999968, 5.0557976360000225]"
4,ROMC_D_10,"[0.5764999985694885, 0.5684999823570251]"
5,ROMC_D_10_runtime,"[6.542601730000001, 6.5069908020000184]"
6,ROMC_D_15,"[0.5845000147819519, 0.5740000009536743]"
7,ROMC_D_15_runtime,"[6.999164613000062, 6.873628948000032]"
8,ROMC_D_20,"[0.621999979019165, 0.6225000023841858]"
9,ROMC_D_20_runtime,"[7.958915850000039, 7.663788882999938]"
10,ROMC_D_25,"[0.6384999752044678, 0.6305000185966492]"
11,ROMC_D_25_runtime,"[8.679890944000022, 8.077101803999994]"
12,ROMC_D_30,"[0.637499988079071, 0.6315000057220459]"
13,ROMC_D_30_runtime,"[10.235213669000018, 9.330831327999931]"
14,R2OMC_D_2,"[0.5170000195503235, 0.4925000071525574]"
15,R2OMC_D_2_runtime,"[6.564640792028513, 6.232019722985569]"
16,R2OMC_D_5,"[0.5210000276565552, 0.5220000147819519]"
17,R2OMC_D_5_runtime,"[8.874732984999923, 8.942917561000058]"
18,R2OMC_D_10,"[0.5580000281333923, 0.5709999799728394]"
19,R2OMC_D_10_runtime,"[9.787677250000002, 9.561935624999933]"
20,R2OMC_D_15,"[0.5849999785423279, 0.6060000061988831]"
21,R2OMC_D_15_runtime,"[11.182706845999974, 10.16277495299994]"
22,R2OMC_D_20,"[0.6175000071525574, 0.6069999933242798]"
23,R2OMC_D_20_runtime,"[11.390487408999888, 12.101016682000136]"
24,R2OMC_D_25,"[0.6485000252723694, 0.6299999952316284]"
25,R2OMC_D_25_runtime,"[12.962903925999854, 12.724794348999922]"
26,R2OMC_D_30,"[0.6119999885559082, 0.6474999785423279]"
27,R2OMC_D_30_runtime,"[14.085383338000156, 15.076532871000154]"
28,NPE_D_2,"[0.5245000123977661, 0.5170000195503235]"
29,NPE_D_2_runtime,"[164.92227021898725, 186.92380001099082]"
30,NPE_D_5,"[0.5044999718666077, 0.5134999752044678]"
31,NPE_D_5_runtime,"[627.483535376, 501.1343096080002]"
32,NPE_D_10,"[0.5870000123977661, 0.5525000095367432]"
33,NPE_D_10_runtime,"[662.6020141920003, 654.0715321600001]"
34,NPE_D_15,"[0.6990000009536743, 0.5860000252723694]"
35,NPE_D_15_runtime,"[717.0140695910004, 866.8639499969995]"
36,NPE_D_20,"[0.7250000238418579, 0.7605000138282776]"
37,NPE_D_20_runtime,"[939.0126220110005, 1142.0243231719996]"
38,NPE_D_25,"[0.765500009059906, 0.7900000214576721]"
39,NPE_D_25_runtime,"[1271.8489031629997, 1149.606866746999]"
40,NPE_D_30,"[0.7630000114440918, 0.7795000076293945]"
41,NPE_D_30_runtime,"[1515.5102466879998, 1477.7747982649998]"
42,NLE_D_2,"[0.5540000200271606, 0.49399998784065247]"
43,NLE_D_2_runtime,"[37.45342325698584, 42.33630141400499]"
44,NLE_D_5,"[0.5404999852180481, 0.5320000052452087]"
45,NLE_D_5_runtime,"[66.48234835499898, 83.18053730099928]"
46,NLE_D_10,"[0.6054999828338623, 0.5774999856948853]"
47,NLE_D_10_runtime,"[217.97297121101292, 197.17828815200482]"
48,NLE_D_15,"[0.9545000195503235, 0.6700000166893005]"
49,NLE_D_15_runtime,"[327.9607200140017, 285.9600058789947]"
50,NLE_D_20,"[0.7260000109672546, 0.9004999995231628]"
51,NLE_D_20_runtime,"[696.3177530599933, 483.7965231690032]"
52,NLE_D_25,"[0.9819999933242798, 0.9714999794960022]"
53,NLE_D_25_runtime,"[882.9135858200025, 866.4666703219991]"
54,NLE_D_30,"[0.9884999990463257, 0.9794999957084656]"
55,NLE_D_30_runtime,"[1290.7052632640116, 1339.0178952369897]"
