,Metric,Value
0,ROMC_D_5,"[0.7919999957084656, 0.7979999780654907]"
1,ROMC_D_5_runtime,"[12.210808377998546, 12.489181790000657]"
2,ROMC_D_10,"[0.7440000176429749, 0.7429999709129333]"
3,ROMC_D_10_runtime,"[13.541701820000526, 13.095016878000024]"
4,ROMC_D_15,"[0.7204999923706055, 0.7394999861717224]"
5,ROMC_D_15_runtime,"[13.965054868000152, 15.07520423799906]"
6,ROMC_D_20,"[0.9850000143051147, 0.9835000038146973]"
7,ROMC_D_20_runtime,"[14.57909191500039, 14.241221988999314]"
8,ROMC_D_25,"[0.9865000247955322, 0.9900000095367432]"
9,ROMC_D_25_runtime,"[17.10286342499967, 17.365985149999688]"
10,ROMC_D_30,"[0.9754999876022339, 0.968500018119812]"
11,ROMC_D_30_runtime,"[17.643908271000328, 17.44431159800115]"
12,R2OMC_D_5,"[0.5084999799728394, 0.5479999780654907]"
13,R2OMC_D_5_runtime,"[12.682087551000222, 11.56551797300017]"
14,R2OMC_D_10,"[0.5720000267028809, 0.5559999942779541]"
15,R2OMC_D_10_runtime,"[12.825435011000081, 12.712087214000348]"
16,R2OMC_D_15,"[0.597000002861023, 0.5674999952316284]"
17,R2OMC_D_15_runtime,"[14.928212729000734, 13.745693640999889]"
18,R2OMC_D_20,"[0.6165000200271606, 0.6330000162124634]"
19,R2OMC_D_20_runtime,"[15.205820963001315, 16.103601541999524]"
20,R2OMC_D_25,"[0.6119999885559082, 0.6154999732971191]"
21,R2OMC_D_25_runtime,"[17.043496266998773, 16.2695858269999]"
22,R2OMC_D_30,"[0.6129999756813049, 0.6165000200271606]"
23,R2OMC_D_30_runtime,"[17.707971304998864, 20.107691601000624]"
24,NPE_D_5,"[0.9194999933242798, 0.906499981880188]"
25,NPE_D_5_runtime,"[224.0280371830013, 193.85329854100019]"
26,NPE_D_10,"[0.953000009059906, 0.9645000100135803]"
27,NPE_D_10_runtime,"[335.7666962940002, 332.69462341300095]"
28,NPE_D_15,"[0.9779999852180481, 0.9804999828338623]"
29,NPE_D_15_runtime,"[523.0641830080003, 496.9557318970001]"
30,NPE_D_20,"[0.9729999899864197, 0.9804999828338623]"
31,NPE_D_20_runtime,"[627.1023968559984, 635.0503879800017]"
32,NPE_D_25,"[0.9695000052452087, 0.9739999771118164]"
33,NPE_D_25_runtime,"[752.8200338780007, 753.9385957559971]"
34,NPE_D_30,"[0.9629999995231628, 0.9559999704360962]"
35,NPE_D_30_runtime,"[871.5135269329985, 1019.5422955780014]"
36,NLE_D_5,"[0.9965000152587891, 0.9965000152587891]"
37,NLE_D_5_runtime,"[697.6242044850078, 660.6779051620106]"
38,NLE_D_10,"[0.9975000023841858, 0.9980000257492065]"
39,NLE_D_10_runtime,"[950.5838490129972, 951.565587310004]"
40,NLE_D_15,"[0.9900000095367432, 0.9879999756813049]"
41,NLE_D_15_runtime,"[1420.225479693996, 1233.3231722689816]"
42,NLE_D_20,"[0.9815000295639038, 0.9825000166893005]"
43,NLE_D_20_runtime,"[1644.1346487929986, 1525.8882878700097]"
44,NLE_D_25,"[0.9764999747276306, 0.9775000214576721]"
45,NLE_D_25_runtime,"[1907.374700727989, 2282.521317441977]"
46,NLE_D_30,"[0.9745000004768372, 0.9729999899864197]"
47,NLE_D_30_runtime,"[2652.294561454997, 2633.000762778014]"
