,Metric,Value
0,ROMC_D_2,"[0.6324999928474426, 0.6455000042915344]"
1,ROMC_D_2_runtime,"[5.7969217599893454, 6.014369625001564]"
2,ROMC_D_5,"[0.7264999747276306, 0.7164999842643738]"
3,ROMC_D_5_runtime,"[5.949660329002654, 6.003098934001173]"
4,ROMC_D_8,"[0.7555000185966492, 0.7580000162124634]"
5,ROMC_D_8_runtime,"[6.718750077008735, 7.1597970979928505]"
6,R2OMC_D_2,"[0.6499999761581421, 0.6320000290870667]"
7,R2OMC_D_2_runtime,"[8.753717191997566, 8.408086348004872]"
8,R2OMC_D_5,"[0.7120000123977661, 0.722000002861023]"
9,R2OMC_D_5_runtime,"[9.844600337994052, 9.660246611994808]"
10,R2OMC_D_8,"[0.7509999871253967, 0.7595000267028809]"
11,R2OMC_D_8_runtime,"[11.337892127005034, 10.436479645999498]"
12,NPE_D_2,"[0.6754999756813049, 0.7300000190734863]"
13,NPE_D_2_runtime,"[435.13851235000766, 456.94685479300097]"
14,NPE_D_5,"[0.7714999914169312, 0.847000002861023]"
15,NPE_D_5_runtime,"[556.886156093009, 423.9787566589948]"
16,NPE_D_8,"[0.6769999861717224, 0.8355000019073486]"
17,NPE_D_8_runtime,"[743.0004552829923, 532.9482926319906]"
