,Metric,Value
0,ROMC_D_2,"[0.843500018119812, 0.8395000100135803]"
1,ROMC_D_2_runtime,"[13.384515773999738, 12.789950341000804]"
2,ROMC_D_5,"[0.9139999747276306, 0.9150000214576721]"
3,ROMC_D_5_runtime,"[13.60805333199096, 13.703685688989935]"
4,ROMC_D_8,"[0.9355000257492065, 0.9350000023841858]"
5,ROMC_D_8_runtime,"[17.4940878500056, 14.93716733099427]"
6,R2OMC_D_2,"[0.6414999961853027, 0.6309999823570251]"
7,R2OMC_D_2_runtime,"[11.993774725997355, 11.635344226990128]"
8,R2OMC_D_5,"[0.7059999704360962, 0.7095000147819519]"
9,R2OMC_D_5_runtime,"[13.569865882003796, 14.075641319999704]"
10,R2OMC_D_8,"[0.7455000281333923, 0.7565000057220459]"
11,R2OMC_D_8_runtime,"[13.58804243200575, 13.191050271008862]"
12,NPE_D_2,"[0.8090000152587891, 0.7739999890327454]"
13,NPE_D_2_runtime,"[262.0222722190083, 307.2943453950138]"
14,NPE_D_5,"[0.9085000157356262, 0.934499979019165]"
15,NPE_D_5_runtime,"[515.1971701039874, 398.8800997270009]"
16,NPE_D_8,"[0.9309999942779541, 0.9470000267028809]"
17,NPE_D_8_runtime,"[739.2027839000075, 724.2574766140024]"
