,Metric,Value
0,ROMC_D_2,"[0.7764999866485596, 0.765999972820282]"
1,ROMC_D_2_runtime,"[10.843509610000183, 11.016311088998918]"
2,ROMC_D_5,"[0.8429999947547913, 0.847000002861023]"
3,ROMC_D_5_runtime,"[12.811887060001027, 12.214817731000949]"
4,ROMC_D_8,"[0.7914999723434448, 0.8019999861717224]"
5,ROMC_D_8_runtime,"[13.112812945997575, 12.889427624992095]"
6,R2OMC_D_2,"[0.6154999732971191, 0.6290000081062317]"
7,R2OMC_D_2_runtime,"[27.5345466400031, 24.347783039003843]"
8,R2OMC_D_5,"[0.6869999766349792, 0.671999990940094]"
9,R2OMC_D_5_runtime,"[28.75872027600417, 26.80857106599433]"
10,R2OMC_D_8,"[0.6740000247955322, 0.7070000171661377]"
11,R2OMC_D_8_runtime,"[29.680432998007745, 29.49893257000076]"
12,NPE_D_2,"[0.7854999899864197, 0.800000011920929]"
13,NPE_D_2_runtime,"[200.70210446800047, 214.22448577499017]"
14,NPE_D_5,"[0.871999979019165, 0.8960000276565552]"
15,NPE_D_5_runtime,"[520.3834916869964, 536.1689999249938]"
16,NPE_D_8,"[0.8675000071525574, 0.8989999890327454]"
17,NPE_D_8_runtime,"[453.93275233700115, 617.1474278370006]"
